Street,Zip,"",Lo,High,School,Odd/Even
Genesee Street,08611,"",1,599,Columbus Elem (Harrison),5th graders to Franklin
Genesee Street,08611,"",600,1345,Franklin Elementary,last odd 1345/last even 1328
Genesee Street,08611,"",1,1345,Dunn Middle,last odd 1345/last even 1328
George Street,08638,"","","",King Elementary,""
George Street,08638,"","","",Rivera Middle,""
Girard Avenue,08638,"","","",Rivera Middle,""
Gladstone Avenue,08629,"","","",Robeson Elementary,""
Gladstone Avenue,08629,"","","",Hg-Wms. Middle,""
Glenwood Avenue,08618,"","","",Jefferson Elementary,""
Glenwood Avenue,08618,"","","",Kilmer Middle School,""
Gordon Avenue,08618,"","","",King Elementary,""
Gordon Avenue,08618,"","","",Rivera Middle,""
Gouveneur Avenue North,08618,"","","",Jefferson Elementary,""
Gouveneur Avenue North,08618,"","","",Kilmer Middle School,""
Gouveneur Avenue South,08618,"","","",Jefferson Elementary,""
Gouveneur Avenue South,08618,"","","",Kilmer Middle School,""
Grand Street,08611,"",1,499,Columbus Elem (Harrison),5th graders to Franklin
Grand Street,08611,"",500,End,Franklin Elementary,""
Grand Street,08611,"","","",Dunn Middle,""
Grant Avenue,08609,"","","",Grant Elementary,""
Grant Avenue,08609,"","","",Rivera Middle,""
Greeley Alley,08638,"","","",Columbus Elementary,""
Greeley Alley,08638,"","","",Rivera Middle,""
Green Place,08609,"","","",Gregory Elementary,""
Green Place,08609,"","","",Gregory Elem (Monument),""
Green Place,08618,"","","",Rivera Middle,""
Greenwood Avenue,08611,"",1,299,Parker Elementary,""
Greenwood Avenue,08609,"",300,799,Robbins Elementary,""
Greenwood Avenue,08609,"",800,1508,Robeson Elementary,Last even 1508/Last odd 1501
Greenwood Avenue,08611,"",1,299,Dunn Middle,""
Greenwood Avenue,08609,"",300,1508,Hg-Wms. Middle,last even 1508/last odd 1501
Hamilton Avenue,08611,"",1,99,Parker Elementary,""
Hamilton Avenue,08609,"",104,599,Robbins Elementary,551/534 last Robbins
Hamilton Avenue,08629,"",600,1328,Robeson Elementary,last even 1328/last odd 1161
Hamilton Avenue,08609,"",1,99,Dunn Middle,Nothing at dunn
Hamilton Avenue,08609,"",104,1328,Hg-Wms. Middle,last even 1328/last odd 1161
Hampton Avenue,08609,"",102,End,Robeson Elementary,""
Hampton Avenue,08609,"",1,101,Hill Elementary,""
Hampton Avenue,08638,"","","",Hg-Wms. Middle,""
Hancock Street,08611,"","","",Columbus Elem (Harrison),5th graders to Hill
Hancock Street,08611,"","","",Dunn Middle,""
Hanford Place,08609,"","","",Robbins Elementary,""
Hanford Place,08609,"","","",Hg-Wms. Middle,""
Hanover Street East,08608,"",1,199,King Elementary,""
Hanover Street East,08608,"",200,400,Grant Elementary,""
Hanover Street East,08608,"",1,400,Rivera Middle,""
Hanover Street West,08618,"",6,101,King Elementary,""
Hanover Street West,08618,"",102,409,Gregory Elem (Monument),""
Hanover Street West,08618,"",410,End,Gregory Elementary,""
Hanover Street West,08618,"",1,409,Rivera Middle,""
Hanover Street West,08618,"",410,End,Kilmer Middle School,""
Harding Street,08611,"","","",Columbus Elem (Harrison),""
Harris Avenue,08618,"","","",King Elementary,""
Harris Avenue,08618,"","","",Rivera Middle,""
Hart Avenue,08638,"","","",Wilson Elementary,""
Hart Avenue,08638,"","","",Rivera Middle,""
Hayes Avenue,08618,"","","",Gregory Elementary,""
Hayes Avenue,08618,"","","",Kilmer Middle School,""
Heil Avenue,08638,"","","",Columbus Elementary,""
Heil Avenue,08638,"","","",Rivera Middle,""
Hermitage Avenue North,08618,"","","",Gregory Elementary,""
Hermitage Avenue North,08618,"","","",Kilmer Middle School,""
Hermitage Avenue South,08618,"","","",Gregory Elementary,""
Hermitage Avenue South,08618,"","","",Kilmer Middle School,""
Hewitt Street,08611,"",1,199,Washington Elementary,""
Hewitt Street,08611,"",200,End,Franklin Elementary,""
Hewitt Street,08611,"","","",Dunn Middle,""
High Street,08611,"","","",Robbins Elementary,4th & 5th graders to Washington
High Street,08611,"","","",Hg-Wms. Middle,""
Highland Avenue,08618,"","","",Jefferson Elementary,""
Highland Avenue,08618,"","","",Kilmer Middle School,""
Hillcrest Avenue,08611,"",1,362,Jefferson Elementary,last even 362/last odd 250
Hillcrest Avenue,08618,"",1,362,Kilmer Middle School,last even 362/last odd 249
Hill's Place,08611,"",1,199,Parker Elementary,""
Hill's Place,08611,"",200,End,Mott Elementary,""
Hill's Place,08611,"","","",Dunn Middle,""
Hillside Avenue,08618,"","","",King Elementary,""
Hillside Avenue,08618,"","","",Rivera Middle,""
Hilton Street,08629,"","","",Robeson Elementary,""
Hilton Street,08629,"","","",Hg-Wms. Middle,""
Hilvista Boulevard,08618,"","","",Jefferson Elementary,""
Hilvista Boulevard,08618,"","","",Kilmer Middle School,""
Hobart Avenue,08629,"",1,133,Robeson Elementary,""
Hobart Avenue,08629,"",1,133,Hg-Wms. Middle,""
Hoffman Avenue,08618,"",1,180,Gregory Elementary,""
Hoffman Avenue,08618,"","","",Kilmer Middle School,""
