school,road,from,to,oddeven
UN,MILL ROAD,,,
UN,MILLBROOK LANE,,,
UN,MILLERICK AVENUE,,,
UN,MIMOSA COURT,,,
UN,MINK COURT,,,
UN,MONROE AVENUE,,,
UN,MORRELL ROAD,,,
UN,MORTON COURT,,,
UN,MULBERRY STREET,,,
UN,MYA DRIVE,,,
UN,MYRTLE AVENUE,,,
UN,NASH COURT,,,
UN,NASSAU DRIVE,,,
UN,NASSAU PARK BOULEVARD,,,
UN,NATHAN HALE AVENUE,,,
UN,NEW YORK AVENUE,,,
UN,NEWBERRY AVENUE,,,
UN,NORTHBROOK AVENUE,,,
UN,O'NEIL COURT,,,
UN,OAK PLACE,,,
UN,OAKLYN TERRACE,,,
UN,OFFICE ROAD,,,
UN,OHIO AVENUE,,,
UN,OLD BRIDAL PATH,,,
UN,OLD BRIDLE PATH,,,
UN,OLD DENOW ROAD,,,
UN,OLEANDER COURT,,,
UN,ONEIL COURT,,,
UN,ONTARIO WAY,,,
UN,ORCHARD AVENUE,,,
UN,ORCHARD LANE,,,
UN,ORCHARD WAY,,,
UN,OVERLOOK WAY,,,
UN,OXFORD COURT,,,
UN,PADDOCK DRIVE,,,
UN,PAGODA COURT,,,
UN,PALM COURT,,,
UN,PEACH TREE COURT,,,
UN,PEACH TREE DRIVE,,,
UN,PEAR STREET,,,
UN,PEMBROKE COURT,,,
UN,PENLAW ROAD,,,
UN,PHEASANT DRIVE,,,
UN,PHILLIPS AVENUE,,,
UN,PIEDMONT AVENUE,,,
UN,PILGRIM AVENUE,,,
UN,PILLA AVENUE,,,
UN,PIN OAK DRIVE,,,
UN,PINE KNOLL DRIVE,,,
UN,PINE STREET,,,
UN,PLAYERS LANE,,,
UN,POE ROAD,,,
UN,POILLON COURT,,,
UN,POINSETT DRIVE,,,
UN,POINT COURT,,,
UN,POLK AVENUE,,,
UN,PORT MERCER ROAD,,,
UN,PRESIDENT AVENUE,,,
UN,PRETTY BROOK ROAD,,,
UN,PRINCESS ROAD,,,
UN,PRINCETON AVENUE,,,
UN,PRINCETON PIKE,,,
UN,PRINCETON ROAD,,,
UN,PROVINCE LINE ROAD,,,
UN,PURITAN AVENUE,,,
UN,PUTNAM AVENUE,,,
UN,QUAKER ROAD,,,
UN,QUAKERBRIDGE ROAD,,,
UN,QUINCE COURT,,,
UN,RAVONA PLACE,,,
UN,REED COURT,,,
UN,REEDER AVENUE,,,
UN,REGENCY PLACE,,,
UN,REGISTRY ROAD,,,
UN,RENEE COURT,,,
UN,RESEARCH ROAD,,,
UN,REVIEW AVENUE,,,
